2026-07-19 11:18:25,620 | INFO     | customer_support_agent.graph.nodes | classify_ticket: raw_response='{"category":"other"}' -> category=other
2026-07-19 11:18:26,872 | INFO     | httpx | HTTP Request: POST https://openai.vocareum.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-19 11:18:28,048 | INFO     | httpx | HTTP Request: POST https://openai.vocareum.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-19 11:18:28,137 | INFO     | pinecone.client.indexes | Describing index 'policies'
2026-07-19 11:18:29,427 | INFO     | httpx | HTTP Request: GET https://api.pinecone.io/indexes/policies "HTTP/1.1 200 OK"
2026-07-19 11:18:29,450 | INFO     | pinecone.index | Index client created for host https://policies-r1zzu8l.svc.aped-4627-b74a.pinecone.io
2026-07-19 11:18:30,944 | INFO     | httpx | HTTP Request: POST https://openai.vocareum.com/v1/embeddings "HTTP/1.1 200 OK"
2026-07-19 11:18:31,137 | INFO     | pinecone.index | Querying index with top_k=5
2026-07-19 11:18:34,254 | INFO     | httpx | HTTP Request: POST https://openai.vocareum.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-19 11:18:36,127 | INFO     | httpx | HTTP Request: POST https://openai.vocareum.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-19 11:18:37,423 | INFO     | httpx | HTTP Request: POST https://openai.vocareum.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-19 11:18:37,427 | INFO     | ui.api_client | UI -> API POST http://localhost:8000/chat -> 200 (16954.2ms)
2026-07-19 11:19:28,206 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets -> 200 (2076.8ms)
2026-07-19 11:19:30,291 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/20 -> 200 (2083.0ms)
2026-07-19 11:19:32,377 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/19 -> 200 (2081.5ms)
2026-07-19 11:19:34,405 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/18 -> 200 (2021.5ms)
2026-07-19 11:19:36,483 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/4 -> 200 (2072.6ms)
2026-07-19 11:19:38,546 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/3 -> 200 (2058.2ms)
2026-07-19 11:19:40,598 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/2 -> 200 (2047.3ms)
2026-07-19 11:19:42,693 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/1 -> 200 (2089.7ms)
2026-07-19 11:19:46,607 | INFO     | httpx | HTTP Request: POST https://openai.vocareum.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-19 11:19:48,318 | INFO     | httpx | HTTP Request: POST https://openai.vocareum.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-19 11:19:48,322 | INFO     | ui.api_client | UI -> API POST http://localhost:8000/chat -> 200 (5609.3ms)
2026-07-19 11:20:22,847 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets -> 200 (2056.2ms)
